key,value
growth_marketing,1.03572
growth_utility,0.14950
growth_authentication,0.14950
pro_marketing,0.99257
pro_utility,0.14950
pro_authentication,0.14950
business_marketing,0.99257
business_utility,0.14950
business_authentication,0.14950
growth_annual,2199
growth_monthly,2699
pro_annual,4899
pro_monthly,6499
business_annual,14799
business_monthly,18499
pro_extra_seat,1299
business_extra_seat,2199
growth_seats,3
pro_seats,5
business_seats,5
growth_triggers,1000
pro_triggers,2000
business_triggers,5000
growth_ai_credits,250
pro_ai_credits,500
business_ai_credits,1500
growth_broadcast_cap,15000
trigger_pack_size,1000
trigger_pack_price,1000
ai_pack_size,1000
ai_pack_price,1600
shopify,440
extra_number,2499
